Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest,Date
FUT5,45098.0,81.525,82.55,81.475,82.1,1530.0,16874.0,2023-06-21
FUT7,45098.0,91.075,91.425,91.05,91.425,0.0,0.0,2023-06-21
FUT9,45098.0,97.125,97.2,96.975,97.0,38.0,320.0,2023-06-21
FUT3,45099.0,81.05,82.1,79.075,79.875,7964.0,40343.0,2023-06-22
FUT4,45099.0,77.2,78.0,75.875,76.575,4744.0,27385.0,2023-06-22
FUT5,45099.0,82.025,82.575,80.65,81.475,2016.0,16721.0,2023-06-22
FUT6,45099.0,8707.5,8740.0,8567.5,8665.0,609.0,6708.0,2023-06-22
FUT9,45099.0,97.0,97.0,96.0,96.475,25.0,325.0,2023-06-22
FUT10,45100.0,95.5,95.5,94.825,94.825,10.0,236.0,2023-06-23
FUT2,45100.0,89750.0,91825.0,88775.0,90225.0,19448.0,72075.0,2023-06-23
FUT4,45100.0,76.475,77.4,75.5,77.025,4342.0,27973.0,2023-06-23
FUT9,45100.0,97.0,97.0,96.325,96.325,40.0,343.0,2023-06-23
FUT1,45103.0,92.2,94.775,92.2,93.275,7008.0,18687.0,2023-06-26
FUT11,45103.0,84.75,84.75,84.75,84.75,6.0,21.0,2023-06-26
FUT4,45103.0,76.875,77.95,76.875,77.725,10231.0,29496.0,2023-06-26
